Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     12.55     0.00        7     0.00     0.00  portGetFilename
  0.00     12.55     0.00        7     0.00     0.00  portIsOpen
  0.00     12.55     0.00        7     0.00     0.00  portSetState
  0.00     12.55     0.00        7     0.00     0.00  regMakeString
  0.00     12.55     0.00        6     0.00     0.00  executeRestore
  0.00     12.55     0.00        6     0.00     0.00  executeSave
  0.00     12.55     0.00        6     0.00     0.00  objCloseInputPort
  0.00     12.55     0.00        6     0.00     0.00  objDeleteInputPort
  0.00     12.55     0.00        6     0.00     0.00  objIsCharacter
  0.00     12.55     0.00        6     0.00     0.00  objMakeInputPort
  0.00     12.55     0.00        6     0.00     0.00  pushInputPort
  0.00     12.55     0.00        6     0.00  1717.26  readCurrentPort
  0.00     12.55     0.00        6     0.00  1717.26  readPort
  0.00     12.55     0.00        6     0.00     0.00  regIsEqInputPort
  0.00     12.55     0.00        6     0.00     0.00  regMakeInputPort
  0.00     12.55     0.00        6     0.00     0.00  scCreateYYBuffer
  0.00     12.55     0.00        6     0.00     0.00  scDeleteYYBuffer
  0.00     12.55     0.00        6     0.00     0.00  sc_create_buffer
  0.00     12.55     0.00        6     0.00     0.00  sc_delete_buffer
  0.00     12.55     0.00        6     0.00     0.00  vecGetSize
  0.00     12.55     0.00        5     0.00     0.00  maxDepthToPrint
  0.00     12.55     0.00        5     0.00     0.00  objDisplay
  0.00     12.55     0.00        5     0.00     0.00  objDisplayToCurrentPort
  0.00     12.55     0.00        5     0.00     0.00  objGetOutputPortFile
  0.00     12.55     0.00        5     0.00     0.00  objIsOutputPort
  0.00     12.55     0.00        5     0.00     0.00  openInputFile
  0.00     12.55     0.00        5     0.00     0.00  popInputPort
  0.00     12.55     0.00        5     0.00     0.00  regCloseInputPort
  0.00     12.55     0.00        5     0.00     0.00  regDisplayObject
  0.00     12.55     0.00        5     0.00     0.00  regDisplayToCurrentPort
  0.00     12.55     0.00        5     0.00     0.00  regGetOutputPortFile
  0.00     12.55     0.00        5     0.00     0.00  regGetString
  0.00     12.55     0.00        5     0.00     0.00  regIsEqOutputPort
  0.00     12.55     0.00        4     0.00   357.69  assembleInstructions
  0.00     12.55     0.00        4     0.00   891.07  executeInstructions
  0.00     12.55     0.00        4     0.00     5.17  extractLabels
  0.00     12.55     0.00        4     0.00  2971.20  loadFile
  0.00     12.55     0.00        4     0.00     0.00  newline_if
  0.00     12.55     0.00        4     0.00     0.00  objDisplayCharacter
  0.00     12.55     0.00        4     0.00     0.00  objGetCharacter
  0.00     12.55     0.00        4     0.00     0.00  objMakeCharacter
  0.00     12.55     0.00        4     0.00     0.00  regMakeCharacter
  0.00     12.55     0.00        3     0.00     0.00  makeVector
  0.00     12.55     0.00        3     0.00     0.00  objDeleteVector
  0.00     12.55     0.00        3     0.00     0.00  regIsInputPort
  0.00     12.55     0.00        3     0.00     0.00  regMakeBoolean
  0.00     12.55     0.00        3     0.00     0.01  vecDelete
  0.00     12.55     0.00        3     0.00     0.00  vecInit
  0.00     12.55     0.00        2     0.00     0.00  initStack
  0.00     12.55     0.00        2     0.00     0.04  isEOF_if
  0.00     12.55     0.00        2     0.00     0.00  objIsEOF
  0.00     12.55     0.00        2     0.00     0.00  objIsEqEOF
  0.00     12.55     0.00        2     0.00     0.00  objMakeEOF
  0.00     12.55     0.00        2     0.00  1717.27  read_if
  0.00     12.55     0.00        2     0.00     0.00  regIsEOF
  0.00     12.55     0.00        2     0.00     0.00  regMakeEOF
  0.00     12.55     0.00        2     0.00     0.00  screstart
  0.00     12.55     0.00        2     0.00     0.00  scwrap
  0.00     12.55     0.00        1     0.00     0.00  addPrimitives
  0.00     12.55     0.00        1     0.00     0.04  closeInputPort_if
  0.00     12.55     0.00        1     0.00     0.00  display_if
  0.00     12.55     0.00        1     0.00     0.00  dlAdd
  0.00     12.55     0.00        1     0.00     0.00  dlLoad
  0.00     12.55     0.00        1     0.00     0.00  dlUnload
  0.00     12.55     0.00        1     0.00     0.04  exit_if
  0.00     12.55     0.00        1     0.00     0.00  freePrimitives
  0.00     12.55     0.00        1     0.00     0.00  freeSymbols
  0.00     12.55     0.00        1     0.00     0.00  getOptions
  0.00     12.55     0.00        1     0.00     0.00  initPorts
  0.00     12.55     0.00        1     0.00     0.00  initPrimitives
  0.00     12.55     0.00        1     0.00     0.00  initRegsim
  0.00     12.55     0.00        1     0.00     0.04  initStack_if
  0.00     12.55     0.00        1     0.00     0.00  initSymbols
  0.00     12.55     0.00        1     0.00     0.04  isPrimitive_if
  0.00     12.55     0.00        1     0.00     0.00  list
  0.00     12.55     0.00        1     0.00     0.00  list_if
  0.00     12.55     0.00        1     0.00 11884.78  loadFiles
  0.00     12.55     0.00        1     0.00    81.00  memClear
  0.00     12.55     0.00        1     0.00    81.00  memFree
  0.00     12.55     0.00        1     0.00     3.82  memInit
  0.00     12.55     0.00        1     0.00     3.82  memInitialize
  0.00     12.55     0.00        1     0.00     0.00  objCloseOutputPort
  0.00     12.55     0.00        1     0.00     0.00  objDeleteOutputPort
  0.00     12.55     0.00        1     0.00     0.00  objDisplayString
  0.00     12.55     0.00        1     0.00     0.00  objIsEqString
  0.00     12.55     0.00        1     0.00     0.00  objMakeOutputPort
  0.00     12.55     0.00        1     0.00     0.00  objMakeVector
  0.00     12.55     0.00        1     0.00     0.04  openInputFile_if
  0.00     12.55     0.00        1     0.00     0.04  popInputPort_if
  0.00     12.55     0.00        1     0.00     0.00  portInit
  0.00     12.55     0.00        1     0.00     0.04  pushInputPort_if
  0.00     12.55     0.00        1     0.00     0.00  pushOutputPort
  0.00     12.55     0.00        1     0.00     0.00  regAllocateTemp
  0.00     12.55     0.00        1     0.00     0.00  regFree
  0.00     12.55     0.00        1     0.00     0.00  regInit
  0.00     12.55     0.00        1     0.00     0.00  regIsPrimitive
  0.00     12.55     0.00        1     0.00     0.00  regIsString
  0.00     12.55     0.00        1     0.00     0.00  regMakeOutputPort
  0.00     12.55     0.00        1     0.00     0.35  snoc_if

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.08% of 12.55 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     95.4    0.00   11.97                 main [1]
                0.00   11.88       1/1           loadFiles [3]
                0.00    0.08       1/1           memFree [56]
                0.00    0.00       1/1           memInit [91]
                0.00    0.00       1/1           initPorts [142]
                0.00    0.00       1/1           initRegsim [144]
                0.00    0.00       1/2           initStack [157]
                0.00    0.00       1/1           regFree [181]
                0.00    0.00       1/1           regInit [188]
                0.00    0.00       1/1           getOptions [252]
                0.00    0.00       1/1           initPrimitives [253]
                0.00    0.00       1/1           initSymbols [254]
                0.00    0.00       1/1           portInit [259]
                0.00    0.00       1/1           addPrimitives [246]
                0.00    0.00       1/1           dlLoad [248]
                0.00    0.00       1/1           dlUnload [249]
                0.00    0.00       1/1           freeSymbols [251]
                0.00    0.00       1/1           freePrimitives [250]
-----------------------------------------------
                0.00   11.88       4/4           loadFiles [3]
[2]     94.7    0.00   11.88       4         loadFile [2]
                0.00    6.87       4/6           readPort [4]
                0.00    3.56       4/4           executeInstructions [14]
                0.00    1.43       4/4           assembleInstructions [25]
                0.00    0.02       4/4           extractLabels [69]
                0.00    0.00      12/199850      regFreeTemp [61]
                0.00    0.00      12/199850      regGetTemp [63]
                0.00    0.00       4/75466       regCopy [67]
                0.00    0.00       4/5           openInputFile [148]
                0.00    0.00       4/7           regMakeString [147]
                0.00    0.00       4/5           regCloseInputPort [163]
-----------------------------------------------
                0.00   11.88       1/1           main [1]
[3]     94.7    0.00   11.88       1         loadFiles [3]
                0.00   11.88       4/4           loadFile [2]
-----------------------------------------------
                0.00    3.43       2/6           read_if [17]
                0.00    6.87       4/6           loadFile [2]
[4]     82.1    0.00   10.30       6         readPort [4]
                0.00   10.30       6/6           readCurrentPort [5]
                0.00    0.00       4/6           pushInputPort [133]
                0.00    0.00       4/5           popInputPort [140]
                0.00    0.00       6/18          currentInputPort [134]
                0.00    0.00       6/6           regIsEqInputPort [153]
-----------------------------------------------
                0.00   10.30       6/6           readPort [4]
[5]     82.1    0.00   10.30       6         readCurrentPort [5]
                0.02   10.28       6/6           scparse [6]
                0.00    0.00       6/75466       regCopy [67]
-----------------------------------------------
                0.02   10.28       6/6           readCurrentPort [5]
[6]     82.1    0.02   10.28       6         scparse [6]
                0.00   10.16   32917/33303       snoc [7]
